date,m1_supply,gdp,fed_funds_rate,fed_bal,gov_debt,velocity_money
2003-01,1227.3,11174.129,1.24,732202.0,6460776.0,9.104643526440155
2003-02,1238.2,11220.341333333334,1.26,720885.0,6530557.666666667,9.061816615517149
2003-03,1239.3,11266.553666666667,1.25,723792.0,6600339.333333333,9.09106242771457
2003-04,1250.0,11312.766,1.26,733626.0,6670121.0,9.050212799999999
2003-05,1268.8,11397.400333333333,1.26,734390.0,6707854.0,8.982818673812526
2003-06,1281.0,11482.034666666666,1.22,732753.0,6745587.0,8.963336976320583
2003-07,1287.5,11566.669,1.01,741370.0,6783320.0,8.983820582524272
2003-08,1296.4,11635.190666666667,1.03,735147.0,6854868.0,8.975000514244575
2003-09,1297.2,11703.712333333333,1.01,751353.0,6926416.0,9.022288261897419
2003-10,1297.8,11772.234,1.01,754446.0,6997964.0,9.070915395284327
2003-11,1299.1,11822.638333333334,1.0,745371.0,7042332.0,9.100637620917047
2003-12,1306.2,11873.042666666666,0.98,751054.0,7086700.0,9.089758587250548
2004-01,1306.0,11923.447,1.0,756832.0,7131068.0,9.129745022970903
2004-02,1321.4,11986.569666666666,1.01,755445.0,7178823.666666667,9.071113717774077
2004-03,1328.7,12049.692333333334,1.0,756199.0,7226579.333333333,9.068783271869748
2004-04,1332.8,12112.815,1.0,754869.0,7274335.0,9.088246548619448
2004-05,1333.3,12176.979000000001,1.0,759949.0,7309241.0,9.132962574064353
2004-06,1342.7,12241.143,1.03,764893.0,7344147.0,9.116811648171595
2004-07,1340.8,12305.307,1.26,778684.0,7379053.0,9.177585769689738
2004-08,1354.3,12379.276,1.43,772807.0,7451416.333333333,9.140719190725836
2004-09,1362.5,12453.245,1.61,786094.0,7523779.666666667,9.13999633027523
2004-10,1362.3,12527.214,1.76,782750.0,7596143.0,9.195635322616164
2004-11,1374.2,12607.238,1.93,791585.0,7656408.333333333,9.174238102168534
2004-12,1376.0,12687.262,2.16,807973.0,7716673.666666667,9.220393895348838
2005-01,1367.1,12767.286,2.28,816763.0,7776939.0,9.338955453149001
2005-02,1371.1,12819.076000000001,2.5,805705.0,7796791.333333333,9.34948289694406
2005-03,1370.9,12870.866,2.63,802675.0,7816643.666666667,9.388624990881901
2005-04,1358.4,12922.656,2.79,798095.0,7836496.0,9.513144876325088
2005-05,1366.0,12995.984666666667,3.0,803447.0,7868567.333333333,9.513897999023914
2005-06,1380.1,13069.313333333334,3.04,818300.0,7900638.666666667,9.469830688597446
2005-07,1369.0,13142.642,3.26,822944.0,7932710.0,9.60017677136596
2005-08,1377.8,13203.162666666667,3.5,819529.0,8011944.333333333,9.582786084095419
2005-09,1378.6,13263.683333333332,3.62,824448.0,8091178.666666667,9.621125296194206
2005-10,1376.5,13324.204,3.78,818227.0,8170413.0,9.67977043225572
2005-11,1376.1,13415.856,4.0,815926.0,8237327.333333333,9.7491868323523
2005-12,1374.3,13507.508,4.16,834325.0,8304241.666666667,9.828645856072182
2006-01,1379.5,13599.16,4.29,854174.0,8371156.0,9.858035520115983
2006-02,1378.4,13650.581333333334,4.49,833289.0,8387451.333333333,9.90320758367189
2006-03,1383.2,13702.002666666667,4.59,840566.0,8403746.666666666,9.90601696549065
2006-04,1381.4,13753.424,4.79,835979.0,8420042.0,9.956148834515709
2006-05,1387.2,13792.345333333335,4.94,845192.0,8449019.333333334,9.942578815840061
2006-06,1375.4,13831.266666666666,4.99,850218.0,8477996.666666666,10.056177596820318
2006-07,1372.4,13870.188,5.24,853082.0,8506974.0,10.106519965024773
2006-08,1372.4,13926.645333333334,5.25,851664.0,8564724.0,10.14765763139998
2006-09,1364.4,13983.102666666666,5.25,851521.0,8622474.0,10.248536108668034
2006-10,1370.3,14039.56,5.25,843857.0,8680224.0,10.245610450266366
2006-11,1370.8,14098.257,5.25,857192.0,8736704.333333334,10.284692880070033
2006-12,1366.6,14156.954,5.24,864015.0,8793184.666666666,10.359252158641885
2007-01,1371.7,14215.651,5.25,875886.0,8849665.0,10.363527739301595
2007-02,1363.0,14277.794666666667,5.26,855950.0,8855669.0,10.475271215456102
2007-03,1366.5,14339.938333333334,5.26,865685.0,8861673.0,10.493917550920845
2007-04,1378.0,14402.082,5.25,863206.0,8867677.0,10.45143831640058
2007-05,1380.9,14456.093666666668,5.25,892372.0,8914335.666666666,10.468602843556134
2007-06,1368.2,14510.105333333333,5.25,873911.0,8960994.333333334,10.605251668859328
2007-07,1371.8,14564.117,5.26,878608.0,9007653.0,10.616793264324246
2007-08,1376.3,14614.430666666667,5.02,871042.0,9081492.666666666,10.618637409479524
2007-09,1375.7,14664.744333333334,4.94,872896.0,9155332.333333334,10.659841777519324
2007-10,1379.4,14715.058,4.76,869874.0,9229172.0,10.667723647962882
2007-11,1371.8,14712.218,4.49,886556.0,9298646.0,10.724754337366964
2007-12,1373.4,14709.378,4.24,883464.0,9368120.0,10.710192223678462
2008-01,1377.7,14706.538,3.94,923058.0,9437594.0,10.674702765478697
2008-02,1380.4,14759.592333333334,2.98,871610.0,9455731.333333334,10.692257558195692
2008-03,1388.7,14812.646666666666,2.61,881822.0,9473868.666666666,10.666556251650224
2008-04,1391.4,14865.701,2.28,884297.0,9492006.0,10.683988069570216
2008-05,1393.4,14876.800333333333,1.98,889757.0,9669579.0,10.676618582842925
2008-06,1404.6,14887.899666666666,2.0,896444.0,9847152.0,10.599387488727515
2008-07,1421.1,14898.999,2.01,903620.0,10024725.0,10.48413130673422
2008-08,1407.4,14802.068666666666,2.0,902873.0,10249751.666666666,10.51731467007721
2008-09,1462.0,14705.138333333334,1.81,905996.0,10474778.333333334,10.058234154126767
2008-10,1473.8,14608.208,0.97,1504499.0,10699805.0,9.911933776631837
2008-11,1514.6,14549.105666666666,0.39,2074643.0,10842183.666666666,9.60590628988952
2008-12,1601.7,14490.003333333334,0.16,2137435.0,10984562.333333334,9.046640028303262
2009-01,1582.8,14430.901,0.15,2121949.0,11126941.0,9.11732436189032
2009-02,1567.2,14414.346,0.22,1851813.0,11266385.666666666,9.19751531393568
2009-03,1578.9,14397.791000000001,0.18,1901834.0,11405830.333333334,9.118874532902653
2009-04,1611.6,14381.236,0.15,2079411.0,11545275.0,8.923576569868455
2009-05,1617.5,14403.784666666666,0.18,2080452.0,11666792.666666666,8.904967336424523
2009-06,1658.8,14426.333333333334,0.21,2078237.0,11788310.333333334,8.696849127883612
2009-07,1662.5,14448.882,0.16,2006220.0,11909828.0,8.691056842105263
2009-08,1660.0,14516.337333333333,0.16,1989654.0,12043668.333333334,8.744781526104417
2009-09,1664.9,14583.792666666666,0.15,2084026.0,12177508.666666666,8.759560734378441
2009-10,1677.7,14651.248,0.12,2138587.0,12311349.0,8.732936758657686
2009-11,1683.0,14689.035666666667,0.12,2165358.0,12465273.666666666,8.727888096652803
2009-12,1692.8,14726.823333333334,0.12,2204380.0,12619198.333333334,8.699682971014493
2010-01,1674.7,14764.611,0.11,2235669.0,12773123.0,8.816272168149519
2010-02,1699.8,14836.471666666666,0.13,2249553.0,12916012.666666666,8.728363140761658
2010-03,1711.9,14908.332333333334,0.16,2280227.0,13058902.333333334,8.70864672780731
2010-04,1699.0,14980.193,0.2,2307637.0,13201792.0,8.81706474396704
2010-05,1710.1,15033.997,0.2,2326221.0,13321735.333333334,8.791297000175428
2010-06,1731.6,15087.801,0.18,2336305.0,13441678.666666666,8.713213790713791
2010-07,1724.0,15141.605,0.18,2332114.0,13561622.0,8.782833526682134
2010-08,1748.7,15197.560333333333,0.19,2326563.0,13716153.0,8.690776195650102
2010-09,1766.2,15253.515666666666,0.19,2302106.0,13870684.0,8.636346770845128
2010-10,1780.4,15309.471,0.19,2308176.0,14025215.0,8.598894068748596
2010-11,1828.4,15323.462,0.19,2300443.0,14106848.0,8.380803981623277
2010-12,1836.7,15337.453,0.18,2347007.0,14188481.0,8.350548810366417
2011-01,1846.3,15351.444,0.17,2436162.0,14270114.0,8.314707252342522
2011-02,1870.1,15420.141,0.16,2469513.0,14294438.333333334,8.24562376343511
2011-03,1896.5,15488.838,0.14,2545231.0,14318762.666666666,8.167064592670709
2011-04,1897.0,15557.535,0.1,2648776.0,14343087.0,8.201125461254613
2011-05,1941.6,15587.583666666667,0.09,2718848.0,14492171.333333334,8.028215732729022
2011-06,1963.4,15617.632333333333,0.09,2788955.0,14641255.666666666,7.954381345285388
2011-07,1996.0,15647.681,0.07,2870296.0,14790340.0,7.8395195390781565
2011-08,2115.4,15712.543,0.1,2867363.0,14934540.0,7.427693580410324
2011-09,2120.0,15777.405,0.08,2858789.0,15078740.0,7.442172169811321
2011-10,2128.5,15842.267,0.07,2859823.0,15222940.0,7.442925534413907
2011-11,2182.0,15917.786,0.08,2822149.0,15350799.333333334,7.295043996333639
2011-12,2165.7,15993.305,0.07,2820774.0,15478658.666666666,7.384820150528698
2012-01,2201.8,16068.824,0.08,2917845.0,15606518.0,7.298039785629939
2012-02,2207.1,16114.926,0.1,2925040.0,15689357.666666666,7.301402745684382
2012-03,2227.8,16161.028,0.13,2884816.0,15772197.333333334,7.25425442140228
2012-04,2237.3,16207.13,0.14,2865568.0,15855037.0,7.244057569391677
2012-05,2256.2,16244.6,0.16,2864377.0,15925438.0,7.19998227107526
2012-06,2275.3,16282.07,0.16,2852083.0,15995839.0,7.1560101964576095
2012-07,2315.0,16319.54,0.16,2865961.0,16066240.0,7.049477321814255
2012-08,2354.1,16353.155333333334,0.13,2851183.0,16188403.333333334,6.946669781799131
2012-09,2386.6,16386.770666666667,0.14,2822283.0,16310566.666666666,6.8661571552278
2012-10,2420.1,16420.386,0.16,2808621.0,16432730.0,6.785003099045493
2012-11,2441.2,16489.940666666665,0.16,2830791.0,16545613.666666666,6.754850346823966
2012-12,2460.7,16559.495333333332,0.16,2859807.0,16658497.333333334,6.729587244821934
2013-01,2475.5,16629.05,0.14,2917189.0,16771381.0,6.71745101999596
2013-02,2470.6,16652.550333333333,0.15,3014975.0,16760360.666666666,6.74028589546399
2013-03,2477.5,16676.050666666666,0.14,3108805.0,16749340.333333334,6.730999260006727
2013-04,2507.1,16699.551,0.15,3215432.0,16738320.0,6.660903434246739
2013-05,2527.9,16770.056666666667,0.11,3317194.0,16738273.333333334,6.633987367643762
2013-06,2528.3,16840.56233333333,0.09,3400183.0,16738226.666666666,6.660824401112736
2013-07,2544.5,16911.068,0.09,3492742.0,16738180.0,6.6461261544507755
2013-08,2555.9,16985.083333333332,0.08,3585359.0,16877493.0,6.645441266611891
2013-09,2584.8,17059.09866666667,0.08,3654182.0,17016806.0,6.599775095429692
2013-10,2623.6,17133.114,0.09,3747387.0,17156119.0,6.530383442597958
2013-11,2634.6,17136.836333333333,0.08,3851623.0,17304488.333333332,6.504530605531516
2013-12,2664.3,17140.558666666668,0.09,3932627.0,17452857.666666668,6.4334191595040595
2014-01,2698.9,17144.281,0.07,4023640.0,17601227.0,6.352321686613064
2014-02,2724.7,17250.421666666665,0.07,4109285.0,17611686.666666668,6.331126974223462
2014-03,2751.4,17356.562333333335,0.08,4171762.0,17622146.333333332,6.308265731385235
2014-04,2773.2,17462.703,0.09,4236441.0,17632606.0,6.296950454348767
2014-05,2791.3,17556.211,0.09,4303143.0,17696427.666666668,6.2896180990936115
2014-06,2827.1,17649.719,0.1,4330917.0,17760249.333333332,6.243047292278307
2014-07,2843.0,17743.227,0.09,4377031.0,17824071.0,6.241022511431586
2014-08,2804.2,17779.664666666667,0.09,4410111.0,17929862.0,6.340369683569884
2014-09,2865.2,17816.102333333332,0.09,4415587.0,18035653.0,6.21810077248825
2014-10,2870.7,17852.54,0.09,4450260.0,18141444.0,6.218880412442959
2014-11,2888.8,17898.809333333335,0.09,4486585.0,18144981.333333332,6.195932336379581
2014-12,2940.9,17945.078666666668,0.12,4486190.0,18148518.666666668,6.101900325297245
2015-01,2941.3,17991.348,0.11,4499524.0,18152056.0,6.116801414340598
2015-02,3005.4,18058.801,0.11,4500348.0,18152036.666666668,6.008784521195182
2015-03,2998.4,18126.254,0.11,4487583.0,18152017.333333332,6.045308831376734
2015-04,2999.2,18193.707,0.12,4481799.0,18151998.0,6.066186649773273
2015-05,2981.9,18231.458,0.12,4472703.0,18151538.0,6.114040712297528
2015-06,3020.9,18269.209,0.13,4465360.0,18151078.0,6.047604687344831
2015-07,3040.9,18306.96,0.13,4479130.0,18150618.0,6.020244006708539
2015-08,3029.0,18315.333,0.14,4486329.0,18407805.0,6.046659953780125
2015-09,3047.0,18323.706000000002,0.14,4475886.0,18664992.0,6.013687561535938
2015-10,3018.8,18332.079,0.12,4486185.0,18922179.0,6.07263780310057
2015-11,3082.3,18363.15466666667,0.12,4489702.0,19036432.333333332,5.95761433561518
2015-12,3095.8,18394.230333333333,0.24,4478069.0,19150685.666666668,5.941672696341279
2016-01,3096.9,18425.306,0.34,4486606.0,19264939.0,5.949596693467662
2016-02,3128.8,18487.409666666666,0.38,4483495.0,19303823.0,5.908786009545725
2016-03,3154.0,18549.513333333332,0.36,4478485.0,19342707.0,5.881266117099979
2016-04,3198.5,18611.617,0.37,4484069.0,19381591.0,5.8188579021416285
2016-05,3237.6,18666.231,0.37,4477270.0,19445542.333333332,5.765453113417347
2016-06,3246.1,18720.844999999998,0.38,4461393.0,19509493.666666668,5.767180616740087
2016-07,3246.0,18775.459,0.39,4470605.0,19573445.0,5.784183302526186
2016-08,3319.3,18839.653,0.4,4466793.0,19707905.666666668,5.6757909800259085
2016-09,3327.7,18903.847,0.4,4459394.0,19842366.333333332,5.680754575232143
2016-10,3333.4,18968.041,0.4,4459407.0,19976827.0,5.690298494030119
2016-11,3355.0,19028.092,0.41,4453087.0,19933358.0,5.671562444113264
2016-12,3340.9,19088.143,0.54,4448618.0,19889889.0,5.713473315573648
2017-01,3391.2,19148.194,0.65,4453101.0,19846420.0,5.646436069827789
2017-02,3402.7,19200.298,0.66,4453881.0,19845798.0,5.642665530314162
2017-03,3450.5,19252.402000000002,0.79,4458018.0,19845176.0,5.57959773945805
2017-04,3451.2,19304.506,0.9,4474634.0,19844554.0,5.593563398238294
2017-05,3516.1,19390.302666666666,0.91,4471246.0,19978002.666666668,5.51471876984917
2017-06,3524.9,19476.099333333335,1.04,4462443.0,20111451.333333332,5.525291308500478
2017-07,3548.6,19561.896,1.15,4467272.0,20244900.0,5.512567209603787
2017-08,3587.8,19672.847333333335,1.16,4466846.0,20327515.666666668,5.483261980415111
2017-09,3571.2,19783.798666666666,1.15,4453474.0,20410131.333333332,5.539818175029868
2017-10,3606.3,19894.75,1.15,4460422.0,20492747.0,5.516665280204087
2017-11,3631.0,19981.662,1.16,4455887.0,20691712.333333332,5.503074084274305
2017-12,3610.6,20068.574,1.3,4437148.0,20890677.666666668,5.558237965989033
2018-01,3656.2,20155.486,1.41,4443718.0,21089643.0,5.512686942727423
2018-02,3619.0,20260.389666666666,1.42,4420745.0,21124785.333333332,5.598339228147738
2018-03,3663.4,20365.293333333335,1.51,4396097.0,21159927.666666668,5.559123582828338
2018-04,3655.2,20470.197,1.69,4386104.0,21195070.0,5.600294648719633
2018-05,3650.8,20542.557333333334,1.7,4356129.0,21302066.0,5.626864614148497
2018-06,3652.2,20614.917666666664,1.82,4319191.0,21409062.0,5.64452047167917
2018-07,3677.5,20687.278,1.91,4289764.0,21516058.0,5.6253645139360975
2018-08,3693.2,20731.274999999998,1.91,4255653.0,21668737.333333332,5.613363749593848
2018-09,3701.8,20775.272,1.95,4208496.0,21821416.666666668,5.612208114971095
2018-10,3728.2,20819.269,2.19,4174704.0,21974096.0,5.584268279598734
2018-11,3705.6,20883.874333333333,2.2,4141936.0,21992024.0,5.635760560592977
2018-12,3763.4,20948.479666666666,2.27,4086044.0,22009952.0,5.56637074631096
2019-01,3754.8,21013.085,2.4,4058378.0,22027880.0,5.596326036007244
2019-02,3762.9,21099.539333333334,2.4,4026350.0,22026347.666666668,5.607254865484954
2019-03,3733.6,21185.993666666665,2.41,3969134.0,22024815.333333332,5.67441441682737
2019-04,3775.0,21272.448,2.42,3935509.0,22023283.0,5.635085562913908
2019-05,3783.2,21358.911666666667,2.39,3889691.0,22255322.666666668,5.645726281102418
2019-06,3824.4,21445.375333333333,2.38,3847645.0,22487362.333333332,5.607513684063731
2019-07,3856.8,21531.839,2.4,3813198.0,22719402.0,5.582824880730139
2019-08,3858.9,21590.07,2.13,3781543.0,22880061.333333332,5.594876778356526
2019-09,3900.0,21648.301,2.04,3761508.0,23040720.666666668,5.55084641025641
2019-10,3935.3,21706.532,1.83,3945831.0,23201380.0,5.515851904556196
2019-11,3955.3,21650.36533333333,1.55,4039443.0,23208857.666666668,5.473760608129176
2019-12,4007.1,21594.198666666667,1.55,4065696.0,23216335.333333332,5.388984219676741
2020-01,3993.6,21538.032,1.55,4173626.0,23223813.0,5.393137019230769
2020-02,4002.9,20904.265,1.58,4166707.0,24308289.0,5.222280096929726
2020-03,4261.9,20270.498,0.65,4241507.0,25392765.0,4.75621154883972
2020-04,4779.8,19636.731,0.05,5811607.0,26477241.0,4.108274614000585
2020-05,16232.9,20211.963333333333,0.05,6721420.0,26633291.0,1.2451233811169498
2020-06,16563.5,20787.195666666667,0.08,7165217.0,26789341.0,1.2550001911834254
2020-07,16763.8,21362.428,0.09,7009040.0,26945391.0,1.2743189491642706
2020-08,16896.7,21476.520666666667,0.1,6945237.0,27212860.0,1.2710482322978254
2020-09,17161.5,21590.61333333333,0.09,7017492.0,27480329.0,1.258084277792345
2020-10,17365.3,21704.706,0.09,7074649.0,27747798.0,1.2498894922633066
2020-11,17626.7,21907.753999999997,0.09,7157479.0,27876055.333333332,1.2428732547782624
2020-12,17834.4,22110.802,0.09,7222414.0,28004312.666666668,1.2397839007760283
2021-01,18106.8,22313.85,0.09,7334809.0,28132570.0,1.232346411292995
2021-02,18367.2,22558.211333333333,0.08,7410598.0,28264858.666666668,1.2281791091365768
2021-03,18641.3,22802.572666666667,0.07,7557524.0,28397147.333333332,1.223228673250614
2021-04,18927.5,23046.934,0.07,7708882.0,28529436.0,1.2176427948751816
2021-05,19259.5,23214.762666666666,0.06,7810486.0,28495930.333333332,1.2053668406068
2021-06,19319.5,23382.591333333334,0.08,7935703.0,28462424.666666668,1.2103103772526895
2021-07,19492.0,23550.42,0.1,8097773.0,28428919.0,1.2082095218551199
2021-08,19728.7,23816.653666666665,0.09,8235073.0,28825017.666666668,1.2072084661770246
2021-09,19872.5,24082.887333333332,0.08,8349173.0,29221116.333333332,1.211870038159936
2021-10,20063.4,24349.121,0.08,8464032.0,29617215.0,1.2136089097560732
2021-11,20279.7,24479.574,0.08,8574871.0,29878463.333333332,1.207097442269856
2021-12,20430.5,24610.027,0.08,8650402.0,30139711.666666668,1.2045729179413132
2022-01,20585.5,24740.48,0.08,8765721.0,30400960.0,1.2018401301887252
2022-02,20661.0,24909.811999999998,0.08,8873211.0,30456834.0,1.205644063694884
2022-03,20699.1,25079.144,0.2,8904455.0,30512708.0,1.2116055287427956
2022-04,20617.6,25248.476,0.33,8937592.0,30568582.0,1.2246079078069223
2022-05,20627.6,25406.964333333333,0.77,8939972.0,30688692.0,1.2316975476222796
2022-06,20556.5,25565.452666666664,1.21,8915050.0,30808802.0,1.2436675828407884
2022-07,20532.6,25723.941,1.68,8891851.0,30928912.0,1.2528340784898162
2022-08,20472.4,25860.11333333333,2.33,8874620.0,30928912.0,1.2631696006981756
2022-09,20283.4,25996.285666666667,2.56,8822401.0,30928912.0,1.2816532566860914
2022-10,20100.3,26132.458,3.08,8759053.0,30928912.0,1.3001028840365567
2022-11,19935.8,26132.458,3.78,8676870.0,30928912.0,1.31083066643927
2022-12,19685.8,26132.458,4.1,8582735.0,30928912.0,1.3274775726665922
